Codigo,Estacion,Longitud,Latitud,Ciudad
6,Politecnico Colombiano Jaime Isaza Cadavid - Medellin,-75.57777,6.20897,Medellin
12,Estación Tráfico Centro,-75.56958,6.25256,Medellin
28,Itagüí - Casa de Justicia Itagüí,-75.59721,6.18567,Medellin
37,Universidad San Buenaventura,-75.56867,6.3307,Bello
38,Itagüí - I.E. Concejo Municipal de Itagüí,-75.64436,6.1685,Itagüí
40,Parque de las Aguas,-75.41949,6.40671,Barbosa
41,Universidad de Medellin,-75.60996,6.23018,Medellin
43,Tanque Miraflores,-75.54919,6.22997,Medellin
46,Exito San Antonio - Medellin,-75.56747,6.24659,Medellin
69,Caldas - E U Joaquín Aristizabal,-75.63776,6.09308,Caldas
78,La Estrella - Hospital,-75.64417,6.15553,La Estrella
79,"Medellín, Altavista - I.E. Pedro Octavio Amado",-75.6106,6.22189,Medellin
80,"Medellín, Villahermosa - Planta de producción de agua potable EPM",-75.54826,6.25891,Medellin
81,Barbosa - Torre Social,-75.3304,6.43696,Barbosa
82,Copacabana - Ciudadela Educativa La Vida,-75.50475,6.34536,Copacabana
83,"Medellin, Belén - I.E Pedro Justo Berrio",-75.61047,6.23723,Medellin
84,"Medellín, El Poblado - I.E INEM sede Santa Catalina",-75.56095,6.19987,Medellin
85,"Medellín, San Cristobal - Parque Biblioteca Fernando Botero",-75.63643,6.27785,Medellin
86,"Medellín, Aranjuez - I.E Ciro Mendia",-75.55552,6.29048,Medellin
87,Bello - I.E. Fernando Vélez,-75.5678,6.33755,Bello
88,Envigado - E.S.E. Santa Gertrudis,-75.58197,6.16868,Envigado
90,Sabaneta - I.E. Rafael J. Mejía,-75.62126,6.1455,Sabaneta
92,Itagüí - Estación de Policía Los Gómez,-75.61061,6.18989,Itagüí
94,Medellín - Santa Elena,-75.49847,6.23636,Medellín
100,Medellín - Fiscalía General de la Nación,-75.57371,6.26879,Medellín
101,Girardota - Tanques EPM,-75.44831,6.37325,Girardota
103,Estación Parque Biblioteca Tomás Carrasquilla - La Quintana,-75.58305,6.285,Medellín
104,Medellín Almacén General EPM,-75.58605,6.22978,Medellín
106,Medellín - Universidad CES - Barrio el Poblado,-75.55185,6.20739,Medellín
107,La Estrella - La Tablaza I.E Jose Antonio Galan,-75.63194,6.11806,La Estrella
